## Symbol Dependencies
name,kind,location,is_cycle,is_static,dependencies
xmlThrDefDeregisterNodeDefault,function,globals.c:1064,,,xmlDeregisterNodeFunc
xmlThrDefParserInputBufferCreateFilenameDefault,function,globals.c:1088,,,xmlParserInputBufferCreateFilenameFunc
xmlThrDefOutputBufferCreateFilenameDefault,function,globals.c:1114,,,xmlOutputBufferCreateFilenameFunc
xmlHashCreate,function,hash.c:158,,,xmlHashTable;xmlHashTablePtr
xmlHashCreateDict,function,hash.c:205,,,xmlHashTable;xmlDict;xmlHashTablePtr
xmlHashFree,function,hash.c:224,,,xmlHashEntry;xmlHashTable;xmlHashDeallocator;XMLPUBFUN
xmlHashScan,function,hash.c:959,,,xmlHashTable;XMLPUBFUN;xmlHashScanner;stubData
xmlHashScanFull,function,hash.c:974,,,xmlHashEntry;xmlHashTable;xmlHashScannerFull;XMLPUBFUN
xmlHashCopySafe,function,hash.c:1110,,,xmlHashDeallocator;xmlHashTablePtr;xmlHashEntry;xmlHashTable;xmlHashCopier
xmlHashSize,function,hash.c:1173,,,xmlHashTable;XMLPUBFUN
libxml_deprecationWarning,function,python/libxml.c:3546,,,
libxml_xmlSetEntityLoader,function,python/libxml.c:731,,,PyObject;ATTRIBUTE_UNUSED
libxml_xmlRegisterInputCallback,function,python/libxml.c:787,,,PyObject;ATTRIBUTE_UNUSED
libxml_xmlUnregisterInputCallback,function,python/libxml.c:819,,,PyObject;ATTRIBUTE_UNUSED
libxml_xmlCreatePushParser,function,python/libxml.c:1345,,,xmlParserCtxtPtr;PyObject;xmlSAXHandlerPtr;ATTRIBUTE_UNUSED
libxml_htmlCreatePushParser,function,python/libxml.c:1373,,,xmlParserCtxtPtr;PyObject;xmlSAXHandlerPtr;ATTRIBUTE_UNUSED
libxml_xmlSAXParseFile,function,python/libxml.c:1404,,,xmlParserCtxtPtr;PyObject;xmlSAXHandlerPtr;ATTRIBUTE_UNUSED
libxml_htmlSAXParseFile,function,python/libxml.c:1433,,,PyObject;xmlSAXHandlerPtr;ATTRIBUTE_UNUSED;htmlParserCtxtPtr
libxml_xmlNodeGetNsDefs,function,python/libxml.c:2584,,,PyObject;xmlNsPtr;ATTRIBUTE_UNUSED;xmlNodePtr
libxml_xmlNodeGetNs,function,python/libxml.c:2655,,,PyObject;xmlNsPtr;ATTRIBUTE_UNUSED;xmlNodePtr
libxml_xmlSchemaSetValidErrors,function,python/libxml.c:3120,,,PyObject;xmlSchemaValidCtxtPtr;ATTRIBUTE_UNUSED;xmlSchemaValidCtxtPyCtxtPtr
PyObject_HEAD,struct,python/libxml_wrap.h:90,,,PyObject_HEAD
xmlListCreate,function,list.c:175,,,xmlLinkPtr;xmlList;xmlListPtr;xmlListDeallocator;xmlListDataCompare
xmlListSearch,function,list.c:213,,,xmlLinkPtr;xmlList
xmlListReverseSearch,function,list.c:232,,,xmlLinkPtr;xmlList
xmlListInsert,function,list.c:251,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListAppend,function,list.c:278,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListDelete,function,list.c:302,,,XMLPUBFUN;xmlList
xmlListRemoveFirst,function,list.c:320,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListRemoveLast,function,list.c:343,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListRemoveAll,function,list.c:366,,,XMLPUBFUN;xmlList
xmlListClear,function,list.c:384,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListEmpty,function,list.c:406,,,XMLPUBFUN;xmlList
xmlListSize,function,list.c:448,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListPopFront,function,list.c:466,,,XMLPUBFUN;xmlList
xmlListPopBack,function,list.c:478,,,XMLPUBFUN;xmlList
xmlListPushFront,function,list.c:492,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListPushBack,function,list.c:519,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListReverse,function,list.c:558,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlListSort,function,list.c:582,,,xmlList;XMLPUBFUN;xmlListPtr
xmlListWalk,function,list.c:614,,,xmlListWalker;xmlLinkPtr;XMLPUBFUN;xmlList
xmlListReverseWalk,function,list.c:634,,,xmlListWalker;xmlLinkPtr;XMLPUBFUN;xmlList
xmlListMerge,function,list.c:653,,,XMLPUBFUN;xmlList
xmlListDup,function,list.c:666,,,xmlList;xmlListPtr
xmlListCopy,function,list.c:694,,,xmlLinkPtr;XMLPUBFUN;xmlList
xmlNanoHTTPInit,function,nanohttp.c:21,,,
xmlNanoHTTPCleanup,function,nanohttp.c:28,,,
xmlNanoHTTPScanProxy,function,nanohttp.c:36,,,
xmlNanoHTTPRead,function,nanohttp.c:79,,,
